,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
14,2023-12-01,20:30,Bundesliga,Matchweek 13,Fri,Away,W,1,0,Darmstadt 98,1.5,0.7,55.0,17810.0,Florian Kainz,4-2-3-1,4-3-3,Patrick Ittrich,Match Report,,12.0,6.0,19.0,1.0,0,0,2024,Koln
15,2023-12-10,17:30,Bundesliga,Matchweek 14,Sun,Home,D,0,0,Mainz 05,0.3,1.4,54.0,50000.0,Marvin Schwäbe,4-2-3-1,3-4-3,Frank Willenborg,Match Report,,5.0,3.0,22.3,0.0,0,0,2024,Koln
16,2023-12-17,15:30,Bundesliga,Matchweek 15,Sun,Away,L,0,2,Freiburg,1.2,3.0,48.0,34700.0,Florian Kainz,4-2-3-1,4-2-3-1,Harm Osmers,Match Report,,7.0,1.0,18.4,1.0,0,0,2024,Koln
17,2023-12-20,18:30,Bundesliga,Matchweek 16,Wed,Away,L,0,2,Union Berlin,0.8,1.5,60.0,22012.0,Marvin Schwäbe,4-1-3-2,4-3-3,Deniz Aytekin,Match Report,,16.0,7.0,19.4,1.0,0,0,2024,Koln
18,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Home,D,1,1,Heidenheim,0.9,0.9,51.0,50000.0,Florian Kainz,4-2-3-1,4-4-2,Felix Zwayer,Match Report,,14.0,5.0,15.3,1.0,0,0,2024,Koln
19,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,4,Dortmund,1.3,3.4,39.0,50000.0,Florian Kainz,4-4-2,4-3-3,Daniel Schlager,Match Report,,19.0,5.0,17.4,0.0,0,0,2024,Koln
20,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Away,D,1,1,Wolfsburg,0.6,1.5,48.0,24525.0,Florian Kainz,4-2-3-1,4-2-3-1,Sören Storks,Match Report,,6.0,2.0,17.4,0.0,0,0,2024,Koln
21,2024-02-03,18:30,Bundesliga,Matchweek 20,Sat,Home,W,2,0,Eint Frankfurt,1.3,0.8,41.0,50000.0,Florian Kainz,4-2-3-1,3-4-3,Timo Gerach,Match Report,,15.0,4.0,17.2,1.0,0,0,2024,Koln
22,2024-02-11,17:30,Bundesliga,Matchweek 21,Sun,Away,D,1,1,Hoffenheim,0.1,1.2,43.0,23020.0,Florian Kainz,4-2-3-1,3-4-3,Christian Dingert,Match Report,,6.0,1.0,24.6,1.0,0,0,2024,Koln
23,2024-02-16,20:30,Bundesliga,Matchweek 22,Fri,Home,L,0,1,Werder Bremen,0.8,1.8,57.0,50000.0,Florian Kainz,4-2-3-1,3-5-2,Daniel Siebert,Match Report,,13.0,2.0,17.0,1.0,0,0,2024,Koln
24,2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Away,D,1,1,Stuttgart,0.7,2.2,26.0,54500.0,Florian Kainz,4-2-3-1,4-2-3-1,Patrick Ittrich,Match Report,,12.0,6.0,19.3,0.0,0,0,2024,Koln
25,2024-03-03,15:30,Bundesliga,Matchweek 24,Sun,Home,L,0,2,Leverkusen,1.0,1.5,23.0,50000.0,Marvin Schwäbe,4-4-2,3-4-3,Tobias Stieler,Match Report,,6.0,0.0,11.0,0.0,0,0,2024,Koln
26,2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Away,D,3,3,Gladbach,0.6,1.8,42.0,54042.0,Florian Kainz,4-2-3-1,4-2-3-1,Felix Zwayer,Match Report,,12.0,5.0,15.9,1.0,0,0,2024,Koln
27,2024-03-15,20:30,Bundesliga,Matchweek 26,Fri,Home,L,1,5,RB Leipzig,1.2,3.3,34.0,49000.0,Florian Kainz,4-2-3-1,4-2-2-2,Florian Badstübner,Match Report,,10.0,2.0,17.4,0.0,0,0,2024,Koln
28,2024-03-31,15:30,Bundesliga,Matchweek 27,Sun,Away,D,1,1,Augsburg,1.3,2.2,43.0,37660.0,Florian Kainz,4-2-3-1,4-1-2-1-2,Sören Storks,Match Report,,12.0,2.0,19.4,0.0,0,0,2024,Koln
29,2024-04-06,15:30,Bundesliga,Matchweek 28,Sat,Home,W,2,1,Bochum,1.0,0.6,56.0,50000.0,Florian Kainz,4-2-3-1,4-3-1-2,Tobias Welz,Match Report,,20.0,7.0,16.3,0.0,0,0,2024,Koln
30,2024-04-13,15:30,Bundesliga,Matchweek 29,Sat,Away,L,0,2,Bayern Munich,0.9,2.2,31.0,75000.0,Florian Kainz,4-4-2,4-2-3-1,Frank Willenborg,Match Report,,11.0,5.0,18.5,0.0,0,0,2024,Koln
31,2024-04-20,15:30,Bundesliga,Matchweek 30,Sat,Home,L,0,2,Darmstadt 98,1.0,1.8,58.0,50000.0,Florian Kainz,4-4-2,3-4-3,Matthias Jöllenbeck,Match Report,,19.0,4.0,17.2,0.0,0,0,2024,Koln
32,2024-04-28,17:30,Bundesliga,Matchweek 31,Sun,Away,D,1,1,Mainz 05,2.5,1.6,61.0,33305.0,Marvin Schwäbe,4-2-3-1,3-4-3,Benjamin Brand,Match Report,,15.0,5.0,20.2,0.0,1,2,2024,Koln
33,2024-05-04,18:30,Bundesliga,Matchweek 32,Sat,Home,D,0,0,Freiburg,0.9,0.8,56.0,50000.0,Marvin Schwäbe,4-2-3-1,3-5-2,Sören Storks,Match Report,,19.0,7.0,21.8,0.0,0,0,2024,Koln
34,2024-05-11,15:30,Bundesliga,Matchweek 33,Sat,Home,W,3,2,Union Berlin,3.1,1.6,62.0,50000.0,Florian Kainz,4-2-3-1,3-4-3,Deniz Aytekin,Match Report,,17.0,4.0,16.3,0.0,1,1,2024,Koln
35,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,1,4,Heidenheim,2.3,1.0,51.0,15000.0,Florian Kainz,4-2-3-1,4-2-3-1,Tobias Welz,Match Report,,22.0,9.0,16.1,0.0,0,0,2024,Koln
1,2023-08-20,17:30,Bundesliga,Matchweek 1,Sun,Away,L,0,1,Eint Frankfurt,0.5,1.5,39.0,54000.0,Fabian Holland,3-4-3,3-4-3,Harm Osmers,Match Report,,10.0,2.0,19.0,0.0,0,0,2024,Darmstadt 98
2,2023-08-26,15:30,Bundesliga,Matchweek 2,Sat,Home,L,1,4,Union Berlin,2.3,1.7,73.0,17810.0,Fabian Holland,3-4-3,3-5-2,Patrick Ittrich,Match Report,,21.0,6.0,16.0,0.0,0,0,2024,Darmstadt 98
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Away,L,1,5,Leverkusen,0.4,2.8,28.0,29653.0,Fabian Holland,3-4-1-2,3-4-3,Sven Jablonski,Match Report,,5.0,1.0,17.8,0.0,0,0,2024,Darmstadt 98
4,2023-09-17,17:30,Bundesliga,Matchweek 4,Sun,Home,D,3,3,Gladbach,1.2,3.9,37.0,17810.0,Fabian Holland,3-5-2,4-2-3-1,Timo Gerach,Match Report,,15.0,8.0,21.6,2.0,0,0,2024,Darmstadt 98
5,2023-09-22,20:30,Bundesliga,Matchweek 5,Fri,Away,L,1,3,Stuttgart,0.2,2.3,42.0,54000.0,Fabian Holland,5-4-1,4-2-3-1,Matthias Jöllenbeck,Match Report,,4.0,0.0,19.3,0.0,0,0,2024,Darmstadt 98
6,2023-10-01,15:30,Bundesliga,Matchweek 6,Sun,Home,W,4,2,Werder Bremen,2.4,1.5,43.0,17810.0,Fabian Holland,3-5-2,3-5-2,Martin Petersen,Match Report,,13.0,4.0,17.0,0.0,1,1,2024,Darmstadt 98
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Away,W,2,1,Augsburg,1.8,0.9,52.0,29200.0,Fabian Holland,3-4-1-2,3-4-3,Deniz Aytekin,Match Report,,16.0,4.0,19.3,0.0,1,1,2024,Darmstadt 98
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Home,L,1,3,RB Leipzig,2.4,1.9,57.0,17810.0,Fabian Holland,3-4-1-2,4-2-2-2,Harm Osmers,Match Report,,17.0,3.0,14.8,0.0,1,1,2024,Darmstadt 98
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Away,L,0,8,Bayern Munich,0.7,5.8,46.0,75000.0,Tobias Kempe,3-4-1-2,4-2-3-1,Martin Petersen,Match Report,,9.0,4.0,19.8,1.0,0,0,2024,Darmstadt 98
10,2023-11-03,20:30,Bundesliga,Matchweek 10,Fri,Home,L,1,2,Bochum,0.7,1.2,58.0,17810.0,Fabian Holland,3-4-1-2,4-3-3,Marco Fritz,Match Report,,15.0,4.0,20.7,1.0,0,0,2024,Darmstadt 98
11,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,D,0,0,Mainz 05,0.5,0.7,56.0,17810.0,Marcel Schuhen,3-5-2,3-4-3,Daniel Siebert,Match Report,,10.0,3.0,20.4,0.0,0,0,2024,Darmstadt 98
12,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,D,1,1,Freiburg,0.4,1.6,34.0,34300.0,Fabian Holland,3-4-3,3-4-3,Sascha Stegemann,Match Report,,7.0,1.0,19.7,0.0,0,0,2024,Darmstadt 98
13,2023-12-01,20:30,Bundesliga,Matchweek 13,Fri,Home,L,0,1,Köln,0.7,1.5,45.0,17810.0,Fabian Holland,4-3-3,4-2-3-1,Patrick Ittrich,Match Report,,11.0,2.0,20.6,2.0,0,0,2024,Darmstadt 98
14,2023-12-09,15:30,Bundesliga,Matchweek 14,Sat,Away,L,2,3,Heidenheim,0.9,1.4,56.0,15000.0,Fabian Holland,3-4-1-2,4-2-2-2,Daniel Schlager,Match Report,,20.0,7.0,20.9,0.0,0,0,2024,Darmstadt 98
15,2023-12-16,15:30,Bundesliga,Matchweek 15,Sat,Home,L,0,1,Wolfsburg,0.6,0.6,63.0,16900.0,Marcel Schuhen,3-4-1-2,3-5-1-1,Robert Hartmann,Match Report,,13.0,4.0,20.9,1.0,0,0,2024,Darmstadt 98
16,2023-12-19,20:30,Bundesliga,Matchweek 16,Tue,Away,D,3,3,Hoffenheim,0.8,3.5,55.0,18125.0,Tobias Kempe,3-4-1-2,3-1-4-2,Frank Willenborg,Match Report,,15.0,3.0,20.2,0.0,0,0,2024,Darmstadt 98
17,2024-01-13,18:30,Bundesliga,Matchweek 17,Sat,Home,L,0,3,Dortmund,1.0,3.1,48.0,17810.0,Fabian Holland,5-3-2,4-3-3,Deniz Aytekin,Match Report,,11.0,2.0,20.4,1.0,0,0,2024,Darmstadt 98
18,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Home,D,2,2,Eint Frankfurt,1.1,1.2,50.0,17750.0,Fabian Holland,3-4-3◆,3-4-3,Daniel Siebert,Match Report,,12.0,3.0,18.3,0.0,0,0,2024,Darmstadt 98
19,2024-01-28,15:30,Bundesliga,Matchweek 19,Sun,Away,L,0,1,Union Berlin,1.1,2.5,50.0,21786.0,Fabian Holland,3-3-3-1,3-5-2,Harm Osmers,Match Report,,16.0,1.0,17.6,0.0,0,0,2024,Darmstadt 98
20,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Home,L,0,2,Leverkusen,0.6,1.9,33.0,17810.0,Fabian Holland,4-4-2,3-4-3,Tobias Reichel,Match Report,,8.0,6.0,16.9,0.0,0,0,2024,Darmstadt 98
21,2024-02-10,15:30,Bundesliga,Matchweek 21,Sat,Away,D,0,0,Gladbach,0.7,1.5,42.0,46121.0,Fabian Holland,3-4-1-2,3-5-2,Sascha Stegemann,Match Report,,10.0,1.0,21.5,0.0,0,0,2024,Darmstadt 98
22,2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Home,L,1,2,Stuttgart,1.7,1.6,57.0,17810.0,Fabian Holland,3-4-1-2,4-2-3-1,Tobias Welz,Match Report,,20.0,7.0,15.7,1.0,0,0,2024,Darmstadt 98
23,2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Away,D,1,1,Werder Bremen,1.0,1.8,45.0,42358.0,Fabian Holland,3-5-2,3-5-2,Florian Badstübner,Match Report,,12.0,3.0,15.9,0.0,0,0,2024,Darmstadt 98
24,2024-03-02,15:30,Bundesliga,Matchweek 24,Sat,Home,L,0,6,Augsburg,0.8,2.9,46.0,17810.0,Fabian Holland,3-4-1-2,4-3-1-2,Felix Zwayer,Match Report,,10.0,5.0,20.7,1.0,0,0,2024,Darmstadt 98
25,2024-03-09,15:30,Bundesliga,Matchweek 25,Sat,Away,L,0,2,RB Leipzig,0.5,3.2,36.0,40000.0,Tobias Kempe,4-2-2-2,4-2-2-2,Robert Hartmann,Match Report,,9.0,4.0,18.8,0.0,0,0,2024,Darmstadt 98
26,2024-03-16,15:30,Bundesliga,Matchweek 26,Sat,Home,L,2,5,Bayern Munich,1.2,3.6,24.0,17810.0,Fabian Holland,4-4-2,4-2-3-1,Tobias Reichel,Match Report,,7.0,3.0,16.2,0.0,0,0,2024,Darmstadt 98
27,2024-03-31,19:30,Bundesliga,Matchweek 27,Sun,Away,D,2,2,Bochum,0.9,1.8,43.0,25023.0,Marcel Schuhen,4-1-3-2,4-3-3,Sven Jablonski,Match Report,,12.0,3.0,19.3,0.0,0,0,2024,Darmstadt 98
28,2024-04-06,15:30,Bundesliga,Matchweek 28,Sat,Away,L,0,4,Mainz 05,0.5,3.6,41.0,33000.0,Fabian Holland,4-1-3-2,3-4-3,Daniel Schlager,Match Report,,14.0,2.0,23.5,0.0,0,0,2024,Darmstadt 98
29,2024-04-14,15:30,Bundesliga,Matchweek 29,Sun,Home,L,0,1,Freiburg,1.1,0.9,53.0,17810.0,Fabian Holland,3-4-1-2,3-4-3,Sascha Stegemann,Match Report,,17.0,4.0,20.5,0.0,0,0,2024,Darmstadt 98
30,2024-04-20,15:30,Bundesliga,Matchweek 30,Sat,Away,W,2,0,Köln,1.8,1.0,42.0,50000.0,Tobias Kempe,3-4-3,4-4-2,Matthias Jöllenbeck,Match Report,,12.0,6.0,19.9,0.0,0,0,2024,Darmstadt 98
31,2024-04-28,19:30,Bundesliga,Matchweek 31,Sun,Home,L,0,1,Heidenheim,0.7,1.6,45.0,17416.0,Tobias Kempe,3-4-1-2,4-1-3-2,Bastian Dankert,Match Report,,11.0,3.0,20.2,1.0,0,0,2024,Darmstadt 98
32,2024-05-04,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,3,Wolfsburg,0.4,2.2,47.0,23108.0,Marvin Mehlem,3-4-1-2,4-2-3-1,Robert Hartmann,Match Report,,6.0,1.0,19.6,1.0,0,0,2024,Darmstadt 98
33,2024-05-12,15:30,Bundesliga,Matchweek 33,Sun,Home,L,0,6,Hoffenheim,0.6,3.3,41.0,17810.0,Marvin Mehlem,3-4-3,3-4-1-2,Florian Badstübner,Match Report,,10.0,0.0,19.7,0.0,0,0,2024,Darmstadt 98
34,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Away,L,0,4,Dortmund,0.3,2.6,28.0,81365.0,Tobias Kempe,3-4-1-2,4-3-3,Daniel Siebert,Match Report,,6.0,0.0,17.3,0.0,0,0,2024,Darmstadt 98
